actual_pos[0],actual_pos[1],target_pos[0],target_pos[1],actual_vel[0],actual_vel[1],target_vel[0],target_vel[1],actual_torque[0],actual_torque[1],u_ff[0],u_ff[1],time
-0.601397,2.07488,-0.601509,2.07489,0,-0,-0.11145,0.00487838,0,-0.03311,0,0,1.001
-0.601397,2.07488,-0.60162,2.07489,0,-0,-0.11145,0.00487838,0,-0,0,0,1.002
-0.601397,2.07488,-0.601732,2.0749,0,-0,-0.11145,0.00487838,0,-0.03311,0,0,1.003
-0.601397,2.07488,-0.601843,2.0749,0,-0,-0.11145,0.00487838,-0.06622,0.03311,0,0,1.004
-0.601397,2.07488,-0.601954,2.07491,0,-0,-0.11145,0.00487838,-0.72842,-0,0,0,1.005
-0.601397,2.07488,-0.602066,2.07491,0,-0,-0.11145,0.00487838,-0.69531,-0.09933,0,0,1.006
-0.601397,2.07488,-0.602177,2.07492,0,-0,-0.11145,0.00487838,-0.69531,-0.03311,0,0,1.007
-0.601397,2.07488,-0.602289,2.07492,0,-0,-0.11145,0.00487838,-0.76153,-0.03311,0,0,1.008
-0.601397,2.07488,-0.6024,2.07493,0,-0,-0.11145,0.00487838,-0.82775,0.09933,0,0,1.009
-0.601397,2.07488,-0.602512,2.07493,0,-0,-0.11145,0.00487838,-0.76153,0.13244,0,0,1.01
-0.601397,2.07488,-0.602623,2.07494,0,-0,-0.11145,0.00487838,-0.72842,0.03311,0,0,1.011
-0.601397,2.07488,-0.602735,2.07494,0,-0,-0.11145,0.00487838,-0.82775,-0,0,0,1.012
-0.601397,2.07488,-0.602846,2.07495,0,-0,-0.11145,0.00487838,-0.79464,0.03311,0,0,1.013
-0.601397,2.07488,-0.602957,2.07495,0,-0,-0.11145,0.00487838,-0.79464,-0,0,0,1.014
-0.601397,2.07488,-0.603069,2.07495,0,-0,-0.11145,0.00487838,-0.89397,0.03311,0,0,1.015
-0.601397,2.07488,-0.60318,2.07496,0,-0,-0.11145,0.00487838,-0.76153,-0.06622,0,0,1.016
-0.601397,2.07488,-0.603292,2.07496,0,-0,-0.11145,0.00487838,-0.76153,0.06622,0,0,1.017
-0.601401,2.07488,-0.603403,2.07497,-0.001975,-0,-0.11145,0.00487838,-0.76153,-0,0,0,1.018
-0.601401,2.07488,-0.603515,2.07497,-0.00122335,-0,-0.11145,0.00487838,-0.86086,-0,0,0,1.019
-0.601401,2.07488,-0.603626,2.07498,0.000184078,-0,-0.11145,0.00487838,-0.86086,0.09933,0,0,1.02
-0.601401,2.07488,-0.603738,2.07498,-1.15049e-05,-0,-0.11145,0.00487838,-0.76153,-0.06622,0,0,1.021
-0.601401,2.07488,-0.603849,2.07499,0,-0,-0.11145,0.00487838,-0.82775,-0.06622,0,0,1.022
-0.601401,2.07488,-0.603961,2.07499,0,-0,-0.11145,0.00487838,-0.89397,0.03311,0,0,1.023
-0.601401,2.07488,-0.604072,2.075,0,-0,-0.11145,0.00487838,-0.76153,-0.03311,0,0,1.024
-0.601401,2.07488,-0.604183,2.075,0,-0,-0.11145,0.00487838,-0.92708,0.06622,0,0,1.025
-0.601401,2.07488,-0.604295,2.07501,0,-0,-0.11145,0.00487838,-0.86086,0.13244,0,0,1.026
-0.601401,2.07488,-0.604406,2.07501,0,-0,-0.11145,0.00487838,-0.6622,-0,0,0,1.027
-0.601401,2.07488,-0.604518,2.07502,0,-0,-0.11145,0.00487838,-0.92708,0.06622,0,0,1.028
-0.601401,2.07488,-0.604629,2.07502,0,-0,-0.11145,0.00487838,-0.86086,-0.06622,0,0,1.029
-0.601401,2.07488,-0.604741,2.07503,0,-0,-0.11145,0.00487838,-0.82775,-0.09933,0,0,1.03
-0.601401,2.07488,-0.604852,2.07503,0,-0,-0.11145,0.00487838,-0.89397,0.03311,0,0,1.031
-0.601401,2.07488,-0.604964,2.07504,0,-0,-0.11145,0.00487838,-0.86086,-0,0,0,1.032
-0.601401,2.07488,-0.605075,2.07504,0,-0,-0.11145,0.00487838,-0.92708,0.03311,0,0,1.033
-0.601401,2.07488,-0.605186,2.07505,0,-0,-0.11145,0.00487838,-0.92708,0.09933,0,0,1.034
-0.601401,2.07488,-0.605298,2.07505,0,-0,-0.11145,0.00487838,-0.79464,0.06622,0,0,1.035
-0.601401,2.07488,-0.605409,2.07506,0,-0,-0.11145,0.00487838,-0.96019,0.03311,0,0,1.036
-0.601401,2.07488,-0.605521,2.07506,0,-0,-0.11145,0.00487838,-0.9933,0.06622,0,0,1.037
-0.601401,2.07488,-0.605632,2.07507,0,-0,-0.11145,0.00487838,-0.96019,-0.03311,0,0,1.038
-0.601401,2.07488,-0.605744,2.07507,0,-0,-0.11145,0.00487838,-1.02641,0.03311,0,0,1.039
-0.601401,2.07488,-0.605855,2.07508,0,-0,-0.11145,0.00487838,-0.96019,0.09933,0,0,1.04
-0.601401,2.07488,-0.605967,2.07508,0,-0,-0.11145,0.00487838,-0.96019,0.06622,0,0,1.041
-0.601401,2.07488,-0.606078,2.07509,0,-0,-0.11145,0.00487838,-0.92708,-0.06622,0,0,1.042
-0.601401,2.07488,-0.60619,2.07509,0,-0,-0.11145,0.00487838,-0.82775,0.03311,0,0,1.043
-0.601401,2.07488,-0.606301,2.0751,0,-0,-0.11145,0.00487838,-1.02641,0.06622,0,0,1.044
-0.601401,2.07488,-0.606412,2.0751,0,-0,-0.11145,0.00487838,-0.92708,0.09933,0,0,1.045
-0.601401,2.07488,-0.606524,2.07511,0,-0,-0.11145,0.00487838,-1.09263,-0,0,0,1.046
-0.601401,2.07488,-0.606635,2.07511,0,-0,-0.11145,0.00487838,-1.15885,0.03311,0,0,1.047
-0.601401,2.07488,-0.606747,2.07512,0,-0,-0.11145,0.00487838,-1.02641,-0.06622,0,0,1.048
-0.601401,2.07488,-0.606858,2.07512,0,-0,-0.11145,0.00487838,-1.02641,0.03311,0,0,1.049
-0.601401,2.07488,-0.60697,2.07513,0,-0,-0.11145,0.00487838,-0.9933,-0.03311,0,0,1.05
